job_title,soft_skills,technical_skills
ASSOCIATE LABOR RELATIONS ANALYST,"['degree', 'professional', 'industrial', 'social', 'economic', 'public']",['analysis']
ASSOCIATE PROJECT MANAGER,"['requirement', 'professional', 'individual', 'additional', 'urban', 'iv']",[]
ASSOCIATE PUBLIC HEALTH SANITARIAN II,"['physical', 'biological', 'full', 'environmental', 'public', 'sanitarian']",[]
ASSOCIATE ZONING PLANNER,"['requirement', 'professional', 'individual', 'additional', 'urban', 'iv']",[]
ASYLUM MIGRATION BUDGET ANALYST,"['professional', 'public', 'economic', 'national', 'higher', 'fiscal']",['analysis']
ASYLUM PLACEMENT STAFF,"['maltreatment', 'subject', 'central', 'indicated', 'specialized', 'additional']",[]
ATTORNEY II,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
ATTORNEY INTERNE,"['accredited', 'appeal', 'endorsement', 'engagement', 'english', 'environmental']",[]
AUDIT & QUALITY ASSURANCE DATABASE ASSOCIATE,"['full', 'equivalent', 'high', 'educational', 'technical', 'emotional']","['database', 'data', 'analysis', 'programming', 'software']"
AUDIT COORDINATOR,"['professional', 'public', 'economic', 'national', 'higher', 'fiscal']",['analysis']
AUDIT STAFF,"['public', 'internal', 'financial', 'valid', 'regional', 'professional']",[]
AUDITOR (7 POSITIONS),"['public', 'fiscal', 'financial', 'preferred', 'economic', 'investigative']",[]
AUTO MECHANIC,"['full', 'appointment', 'acceptable', 'commercial', 'vocational', 'valid']",[]
AUTOMATION INTERN,"['related', 'particular', 'major', 'trained', 'english', 'enhancement']",[]
Account Security Administrator,"['full', 'engagement', 'english', 'environmental', 'epidemic', 'epidemiologic']",[]
Accountant,"['professional', 'public', 'full', 'certified', 'higher', 'accreditation']",['analysis']
Adjudications Analyst/Supervisor,"['professional', 'economic', 'public', 'national', 'higher', 'organizational']",['analysis']
Administrative Assistant,"['administrative', 'supervisory', 'clerical', 'managerial', 'high', 'equivalent']",[]
Administrative Assistant  Executive,"['type', 'statistical', 'high', 'equivalent', 'minimum', 'responsible']",[]
"Administrative Assistant, Bureau of Maternal Infant and Reproductive Health","['administrative', 'clerical', 'accredited', 'full', 'responsible', 'equivalent']",[]
Administrative Contract Specialist (NM-II),"['professional', 'administrative', 'eighteen', 'managerial', 'evaluation', 'public']",[]
"Administrative Contract Specialist, M-I","['professional', 'administrative', 'eighteen', 'managerial', 'evaluation', 'public']",[]
Administrative Coordinator,"['administrative', 'supervisory', 'full', 'public', 'appropriate', 'industrial']",[]
Administrative Fire Protection Specilaist,"['administrative', 'material', 'license', 'managerial', 'standard', 'physic']",[]
Administrative Law Judge,"['subsequent', 'recent', 'relevant', 'legal', 'equivalent', 'full']",[]
Administrative Operations Manager,"['administrative', 'clerical', 'accredited', 'full', 'responsible', 'equivalent']",[]
Administrative Staff Analyst,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
"Administrative Support Coordinator, Environmental Health Administration","['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
Agency Attorney,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Agency Attorney (IV),"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Agency Attorney 02,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Agency Attorney 03,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Agency Attorney 1,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Agency Attorney 2,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Agency Attorney 3,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Agency Attorney I,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Agency Attorney I-PCI Unit,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Agency Attorney IV,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Agency Attorney Interne,"['accredited', 'appeal', 'endorsement', 'engagement', 'english', 'environmental']",[]
Agency Attorney Level 3,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Agency Attorney Level I,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Agency Attorney for the Division of Contracts and Procurement,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
"Agency Attorney, Labor Law","['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
"Agency Attorney, Level I","['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Agency Chief Contracting Officer,"['administrative', 'managerial', 'consultative', 'nature', 'equivalent', 'qualify']",[]
Agency Implementation and Support Program Evaluator,"['professional', 'administrative', 'full', 'supervisory', 'managerial', 'social']",['analysis']
Agency Security Director,"['professional', 'public', 'economic', 'national', 'higher', 'fiscal']",['analysis']
"Agency's Director of Engineering MEPFP, Bureau of Facilities Planning and Administrative Services","['license', 'full', 'additional', 'valid', 'equivalent', 'professional']",[]
"Agency's Director of Facilities Management & Improvement, Bureau of Facilities Planning and Administrative Services","['license', 'full', 'additional', 'valid', 'equivalent', 'professional']",[]
Air Permitting Associate,"['administrative', 'clerical', 'accredited', 'full', 'responsible', 'equivalent']",[]
Analyst  Closeout,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  DCAS,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  DOHMH,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Department of Social Services (DSS) / Human Resources Administration  (HRA),"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  ECONOMIC DEVELOPMENT,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Economic Development- Project Development & Management,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Energy Efficiency and Modernization Unit (EEMU),"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  FEMA Public Assistance Monitoring and Compliance,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  FEMA Public Assistance Program and Planning,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Housing,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Income and Consumption Tax,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Labor Contracts Analysis,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Miscellaneous Budget,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Pension Analysis,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Policy and Operations Research,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Program Reporting and Evaluation,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Reimbursements,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Service Desk Operations,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Technology Budget & Management,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst  Water Finance Authority,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst - Vendor Management,"['equivalent', 'high', 'related', 'english', 'environmental', 'epidemic']",[]
Analyst Capital Eligibility Review,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst FISCAL,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Analyst Monitoring & Compliance,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
"Analyst, Strategic Planning","['appropriate', 'environmental', 'physical', 'biological', 'full', 'probationary']",[]
Appeals College Aide,"['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
Appeals Paralegal,"['equivalent', 'high', 'related', 'english', 'environmental', 'epidemic']",[]
Application Associate  (Part Time),"['full', 'equivalent', 'high', 'educational', 'technical', 'emotional']","['database', 'data', 'analysis', 'programming', 'software']"
Application Developer,"['equivalent', 'full', 'technical', 'scientific', 'high', 'sixty']",['programming']
Application Security Administrator,"['full', 'engagement', 'english', 'environmental', 'epidemic', 'epidemiologic']",[]
"Application Support Specialist, Bureau of IT Strategy and Project Management","['technical', 'equivalent', 'high', 'scientific', 'degree', 'sixty']",['programming']
Applications Developer,"['accredited', 'professional', 'full', 'regional', 'national', 'task']",['analysis']
Applications Supervisor,"['child', 'social', 'early', 'human', 'subject', 'baccalaureate']",[]
Appraisals and Accessions Archivist,"['degree', 'supervisory', 'american', 'incumbent', 'professional', 'full']",[]
Apprentice Inspector (H&S) - HIQA,"['valid', 'enhancement', 'engagement', 'english', 'environmental', 'epidemic']",[]
Apprentice Inspector H&S - Sidewalk Program,"['valid', 'enhancement', 'engagement', 'english', 'environmental', 'epidemic']",[]
Aquatic Specialist,"['small', 'high', 'aquatic', 'mechanic', 'appropriate', 'modern']",[]
Area Engineer,"['managerial', 'administrative', 'high', 'valid', 'large', 'educational']",[]
Area Supervisor,"['assignment', 'requirement', 'additional', 'full', 'mechanical', 'valid']",[]
Area Supervisor (Highway Maintenance),"['assignment', 'requirement', 'additional', 'full', 'mechanical', 'valid']",[]
Area Supervisor Level 2,"['assignment', 'requirement', 'additional', 'full', 'mechanical', 'valid']",[]
Arraignment Clerk - Complaint Room/DAT/Arraignments Bureau,"['understand', 'understood', 'simple', 'english', 'formal', 'able']",[]
Asbestos Enforcement Inspector,"['degree', 'clinical', 'license', 'mechanical', 'eligible', 'fulltime']",['analysis']
Asbestos Oversight Specialist,"['valid', 'local', 'environmental', 'english', 'enhancement', 'enrolled']",[]
Assessing & Resolving Cases Attorney,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Asset Management Program Planner,"['equivalent', 'assignment', 'architecture', 'full', 'complex', 'architectural']","['database', 'data', 'analysis', 'programming', 'software']"
Asset Manager for the Division of Asset Management,"['equivalent', 'full', 'urban', 'real', 'related', 'educational']",[]
Assistant Agency Photographer - Part-Time,"['professional', 'full', 'regional', 'chea', 'national', 'higher']",[]
"Assistant Analyst, Agency Planning & Implementation Education","['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Assistant Architect for the Division of Building Land Development Services (Scope and Intake Services),"['degree', 'urban', 'full', 'related', 'equivalent', 'engagement']",[]
Assistant Bid Package Reviewer,"['professional', 'public', 'english', 'environmental', 'epidemic', 'epidemiologic']",[]
Assistant Chemical Engineer,"['full', 'elementary', 'english', 'element', 'environmental', 'epidemic']",[]
Assistant Civil Engineer,"['civil', 'baccalaureate', 'full', 'equal', 'english', 'equivalent']",[]
Assistant Civil Engineer - 2 positions,"['civil', 'baccalaureate', 'full', 'equal', 'english', 'equivalent']",[]
Assistant Commissioner,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
Assistant Commissioner Organizational Development & Human Resources,"['managerial', 'administrative', 'consultative', 'supervisory', 'equivalent', 'related']",[]
Assistant Commissioner for Enforcement,"['administrative', 'managerial', 'equivalent', 'diploma', 'maximum', 'additional']",[]
"Assistant Commissioner for Government Affairs, Bureau of Government Affairs","['public', 'responsible', 'related', 'degree', 'equivalent', 'english']",[]
Assistant Commissioner of Operations,"['full', 'social', 'correctional', 'administrative', 'consultative', 'public']",[]
"Assistant Commissioner, Facility Operations","['related', 'managerial', 'correctional', 'administrative', 'large', 'public']",[]
"Assistant Commissioner, Health Management Division","['administrative', 'managerial', 'related', 'criminal', 'high', 'full']",[]
"Assistant Commissioner, Nunez Compliance","['administrative', 'managerial', 'related', 'criminal', 'high', 'full']",[]
"Assistant Commissioner, Runaway & Homeless Youth Services","['professional', 'administrative', 'eighteen', 'managerial', 'evaluation', 'public']",[]
Assistant Commissioner/Negotiator,"['equivalent', 'related', 'administrative', 'full', 'managerial', 'expert']",[]
Assistant Corporation Counsel - Administrative Law and Regulatory Litigation,"['applicant', 'superior', 'organizational', 'oral', 'eleventh', 'english']",[]
Assistant Corporation Counsel - Appeals,"['appellate', 'public', 'exceptional', 'excellent', 'outstanding', 'admitted']",[]
Assistant Corporation Counsel - Commercial and Real Estate Litigation,"['legal', 'good', 'strong', 'interpersonal', 'posse', 'analytical']",[]
Assistant Corporation Counsel - Contracts and Real Estate,"['applicant', 'substantial', 'legal', 'strong', 'aspect', 'transactional']",[]
Assistant Corporation Counsel - Family Court,"['strong', 'juvenile', 'criminal', 'creative', 'constitutional', 'solid']",[]
Assistant Corporation Counsel - Family Court Division - Bronx,"['strong', 'juvenile', 'criminal', 'creative', 'constitutional', 'solid']",[]
Assistant Corporation Counsel - Family Court Interstate Child Support,"['applicant', 'strong', 'critical', 'excellent', 'oral', 'creative']",[]
Assistant Corporation Counsel - Special Federal Litigation,"['ideal', 'applicant', 'federal', 'municipal', 'personal', 'oral']",[]
Assistant Corporation Counsel Family Court Division,"['strong', 'critical', 'oral', 'interpersonal', 'creative', 'english']",[]
"Assistant Corporation Counsel, Commercial & Real Estate Litigation","['legal', 'good', 'strong', 'interpersonal', 'posse', 'analytical']",[]
"Assistant Corporation Counsel, Evening Court-Family Court","['strong', 'posse', 'interpersonal', 'creative', 'oral', 'critical']",[]
"Assistant Corporation Counsel, General Litigation","['applicant', 'strong', 'good', 'ideal', 'legal', 'analytical']",[]
"Assistant Corporation Counsel, Legal Counsel","['applicant', 'legal', 'good', 'strong', 'equal', 'english']",['analysis']
"Assistant Corporation Counsel, Special Federal Litigation","['municipal', 'immediate', 'legal', 'aba', 'oral', 'personal']",[]
Assistant Counsel,"['assignment', 'subsequent', 'legal', 'comparable', 'united', 'incumbent']",[]
Assistant Deputy Agency Chief Contracting Officer,"['administrative', 'supervisory', 'clerical', 'managerial', 'full', 'moderate']",[]
Assistant Deputy Chief of Facilities â Services,"['full', 'iv', 'environmental', 'epidemic', 'epidemiological', 'equal']",[]
"Assistant Deputy Commissioner, Enterprise Risk Management","['legal', 'administrative', 'subsequent', 'responsible', 'full', 'significant']",[]
Assistant Director,"['managerial', 'administrative', 'full', 'license', 'requirement', 'real']",['data']
Assistant Director (Technical Budget),"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
"Assistant Director for Registration, Office of Special Enforcement (OSE)","['legal', 'administrative', 'subsequent', 'responsible', 'full', 'significant']",[]
Assistant Director of Emergency Management,"['administrative', 'supervisory', 'clerical', 'managerial', 'full', 'moderate']",[]
Assistant Director of Forensic Biology,"['molecular', 'related', 'entomology', 'scientific', 'forensic', 'equal']",[]
Assistant Director of Legislative Affairs,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Assistant Director of Technical Assistance,"['professional', 'public', 'economic', 'national', 'higher', 'fiscal']",['analysis']
"Assistant Director, Bureau of Food Safety and Community Sanitation","['biological', 'physical', 'public', 'full', 'environmental', 'nycrr']",[]
"Assistant Director, Relay Peer and Clinical Services, Bureau of Alcohol and Drug Use, Prevention, Care, and Treatment","['appropriate', 'environmental', 'physical', 'biological', 'full', 'probationary']",[]
Assistant District Attorney,"['resident', 'engagement', 'english', 'environmental', 'epidemic', 'epidemiologic']",[]
Assistant District Attorney - 	Economic Crimes Bureau,"['excellent', 'serious', 'significant', 'criminal', 'strong', 'good']",[]
Assistant District Attorney -  	Violent Criminal Enterprise Bureau,"['criminal', 'significant', 'complex', 'ample', 'collegial', 'collaborative']",[]
Assistant District Attorney -  Appeals Bureau,"['strong', 'equivalent', 'excellent', 'oral', 'organizational', 'appellate']",[]
Assistant District Attorney -  Civil Litigation Bureau,"['current', 'excel', 'original', 'inception', 'civil', 'first']",[]
Assistant District Attorney -  Crime Strategies Bureau,"['good', 'strong', 'first', 'understand', 'criminal', 'ethic']",[]
Assistant District Attorney -  Public Integrity Bureau,"['criminal', 'complex', 'strong', 'good', 'sex', 'legal']",[]
Assistant District Attorney -  Rikers Island Prosecution,"['excellent', 'serious', 'significant', 'criminal', 'strong', 'good']",[]
Assistant District Attorney -  Special Investigations Bureau,"['high', 'strict', 'criminal', 'requirement', 'investigative', 'significant']","['software', 'data']"
Assistant District Attorney -  Various Bureau,"['competent', 'original', 'criminal', 'current', 'first', 'ethic']",[]
Assistant District Attorney - Domestic Violence Bureau,"['prior', 'prosecutorial', 'enrolled', 'english', 'environmental', 'epidemic']",[]
Assistant District Attorney Appeals Bureau,"['resident', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
Assistant District Attorney Child Abuse/Sex Crimes Bureau,"['good', 'provide', 'original', 'competent', 'current', 'excel']",[]
Assistant District Attorney Fall 2023,"['first', 'available', 'nyle', 'initial', 'citizenship', 'ube']",[]
Assistant District Attorney General Counsel Division: Civil Litigation Bureau / FOIL Unit,"['high', 'excellent', 'current', 'strong', 'handle', 'original']",[]
Assistant District Attorney Winter 2023,"['english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological', 'equal']",[]
Assistant District Attorney: Community Justice Bureau,"['strong', 'good', 'alternative', 'criminal', 'multidisciplinary', 'ny']",[]
Assistant District Attorney: Conviction Integrity Bureau,"['good', 'citizenship', 'juris', 'ethic', 'conviction', 'resourceful']",[]
Assistant District Attorney: Discovery Compliance Bureau,"['excellent', 'strong', 'effective', 'high', 'thrive', 'extensive']",[]
Assistant EEO Officer and Diversity Training Liaison,"['strong', 'commitment', 'necessary', 'creative', 'anticipate', 'legal']",['analysis']
Assistant Electrical Engineer,"['electrical', 'full', 'acceptable', 'enhancement', 'english', 'elementary']",[]
"Assistant Engineer, Load Management","['full', 'requirement', 'electrical', 'electronic', 'mechanical', 'electromechanical']",[]
Assistant Environmental Compliance Manager (Inspections),"['full', 'subject', 'equivalent', 'related', 'degree', 'baccalaureate']",[]
Assistant Environmental Engineer,"['environmental', 'degree', 'material', 'aeronautical', 'full', 'mechanical']",[]
Assistant FOIL Officer,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Assistant General Counsel,"['subsequent', 'legal', 'comparable', 'united', 'incumbent', 'minimum']",[]
Assistant General Counsel (Investment Transactions),"['legal', 'administrative', 'subsequent', 'responsible', 'full', 'significant']",[]
"Assistant General Counsel, Loft Board","['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
Assistant Mechanical Engineer,"['mechanical', 'full', 'epidemiological', 'english', 'equal', 'engagement']",[]
Assistant Plan Examiner,"['electrical', 'full', 'civil', 'mechanical', 'acceptable', 'substitute']",[]
"Assistant Plan Examiner, Energy Code","['civil', 'full', 'baccalaureate', 'architectural', 'mechanical', 'enable']",[]
Assistant Press Secretary,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
"Assistant Press Secretary,  Office of External Affairs/ Deputy Commissioner","['public', 'advertising', 'assignment', 'degree', 'full', 'baccalaureate']",[]
Assistant Process Engineer,"['environmental', 'full', 'appropriate', 'biological', 'physical', 'mechanical']",[]
"Assistant Program Coordinator, API Culturals","['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
"Assistant Program Coordinator, API Infrastructure","['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
"Assistant Program Coordinator, Agency Planning & Implementation (API) Large Buildings","['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
"Assistant Program Coordinator, Agency Planning & Implementation Health Care","['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Assistant Project  Manager,"['architectural', 'equivalent', 'additional', 'accredited', 'complex', 'high']",[]
Assistant Project Engineer,"['civil', 'acceptable', 'enhancement', 'english', 'environmental', 'epidemic']",[]
Assistant Project Manager,"['architectural', 'equivalent', 'additional', 'accredited', 'complex', 'high']",[]
"Assistant Project Manager, Clean Energy","['professional', 'public', 'english', 'environmental', 'epidemic', 'epidemiologic']",[]
Assistant Records Coordinator,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Assistant Supervisor,"['administrative', 'clerical', 'accredited', 'full', 'responsible', 'equivalent']",[]
Assistant Team Leader,"['degree', 'civil', 'architectural', 'full', 'additional', 'professional']",[]
Assistant Transportation Specialist,"['equivalent', 'technical', 'physical', 'educational', 'full', 'urban']",[]
Assistant to the Deputy Chief of Administration,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
Assistant to the Director,"['public', 'full', 'special', 'individual', 'additional', 'statistic']",['analysis']
Associate - Case Management,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
Associate - Job Development and Partnership,"['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
